Regulator	Target
ENSG00000167414	ENSG00000136754
ENSG00000169752	ENSG00000136754
ENSG00000111790	ENSG00000138443
ENSG00000211679	ENSG00000138443
ENSG00000211598	ENSG00000138443
ENSG00000177455	ENSG00000138443
ENSG00000172354	ENSG00000138443
ENSG00000205809	ENSG00000138443
ENSG00000115904	ENSG00000138443
ENSG00000169752	ENSG00000138443
ENSG00000204592	ENSG00000138443
ENSG00000078579	ENSG00000138443
ENSG00000243466	ENSG00000138443
ENSG00000186469	ENSG00000138443
ENSG00000134853	ENSG00000138443
ENSG00000095970	ENSG00000138443
ENSG00000069966	ENSG00000138443
ENSG00000134962	ENSG00000138443
ENSG00000124831	ENSG00000138443
ENSG00000118972	ENSG00000138443
ENSG00000138685	ENSG00000138443
ENSG00000158458	ENSG00000138443
ENSG00000068383	ENSG00000138443
ENSG00000176533	ENSG00000138443
ENSG00000043462	ENSG00000138443
ENSG00000100385	ENSG00000138443
ENSG00000167414	ENSG00000138443
ENSG00000065361	ENSG00000138443
ENSG00000211892	ENSG00000138443
ENSG00000141506	ENSG00000138443
ENSG00000196535	ENSG00000138443
ENSG00000146648	ENSG00000138443
ENSG00000065054	ENSG00000138443
ENSG00000121594	ENSG00000138443
ENSG00000080824	ENSG00000138443
ENSG00000133056	ENSG00000138443
ENSG00000174808	ENSG00000138443
ENSG00000105647	ENSG00000138443
ENSG00000127928	ENSG00000138443
ENSG00000165025	ENSG00000138443
ENSG00000086730	ENSG00000138443
ENSG00000102882	ENSG00000138443
ENSG00000105401	ENSG00000138443
ENSG00000174775	ENSG00000138443
ENSG00000141968	ENSG00000138443
ENSG00000171862	ENSG00000138443
ENSG00000100030	ENSG00000138443
ENSG00000169919	ENSG00000138443
ENSG00000132376	ENSG00000138443
ENSG00000100311	ENSG00000138443
ENSG00000139144	ENSG00000138443
ENSG00000105851	ENSG00000138443
ENSG00000163519	ENSG00000138443
ENSG00000211893	ENSG00000138443
ENSG00000169047	ENSG00000138443
ENSG00000133116	ENSG00000138443
ENSG00000066468	ENSG00000138443
ENSG00000213658	ENSG00000138443
ENSG00000257923	ENSG00000138443
ENSG00000138675	ENSG00000138443
ENSG00000138798	ENSG00000138443
ENSG00000143226	ENSG00000138443
ENSG00000155629	ENSG00000138443
ENSG00000169242	ENSG00000138443
ENSG00000185133	ENSG00000138443
ENSG00000127588	ENSG00000138443
ENSG00000128052	ENSG00000138443
ENSG00000165458	ENSG00000138443
ENSG00000156427	ENSG00000138443
ENSG00000109062	ENSG00000138443
ENSG00000112715	ENSG00000138443
ENSG00000213066	ENSG00000138443
ENSG00000186716	ENSG00000138443
ENSG00000070388	ENSG00000138443
ENSG00000011600	ENSG00000138443
ENSG00000213809	ENSG00000138443
ENSG00000102678	ENSG00000138443
ENSG00000182866	ENSG00000138443
ENSG00000113721	ENSG00000138443
ENSG00000111241	ENSG00000138443
ENSG00000109458	ENSG00000138443
ENSG00000198821	ENSG00000138443
ENSG00000172380	ENSG00000138443
ENSG00000010810	ENSG00000138443
ENSG00000166225	ENSG00000138443
ENSG00000078369	ENSG00000138443
ENSG00000186111	ENSG00000138443
ENSG00000162188	ENSG00000138443
ENSG00000109471	ENSG00000138443
ENSG00000027869	ENSG00000138443
ENSG00000075388	ENSG00000138443
ENSG00000134460	ENSG00000138443
ENSG00000178568	ENSG00000138443
ENSG00000111664	ENSG00000138443
ENSG00000211896	ENSG00000138443
ENSG00000185950	ENSG00000138443
ENSG00000185737	ENSG00000138443
ENSG00000160867	ENSG00000138443
ENSG00000167083	ENSG00000138443
ENSG00000121741	ENSG00000138443
ENSG00000134539	ENSG00000138443
ENSG00000147168	ENSG00000138443
ENSG00000158815	ENSG00000138443
ENSG00000178562	ENSG00000138443
ENSG00000033327	ENSG00000138443
ENSG00000124882	ENSG00000138443
ENSG00000162434	ENSG00000138443
ENSG00000211897	ENSG00000138443
ENSG00000157404	ENSG00000138443
ENSG00000111605	ENSG00000138443
ENSG00000114013	ENSG00000138443
ENSG00000113578	ENSG00000138443
ENSG00000107242	ENSG00000138443
ENSG00000211677	ENSG00000138443
ENSG00000197461	ENSG00000138443
ENSG00000179295	ENSG00000138443
ENSG00000114450	ENSG00000138443
ENSG00000177885	ENSG00000138443
ENSG00000119397	ENSG00000138443
ENSG00000150337	ENSG00000138443
ENSG00000222037	ENSG00000138443
ENSG00000160691	ENSG00000138443
ENSG00000157168	ENSG00000138443
ENSG00000276231	ENSG00000138443
ENSG00000167103	ENSG00000138443
ENSG00000077782	ENSG00000138443
ENSG00000070193	ENSG00000138443
ENSG00000160654	ENSG00000138443
ENSG00000121879	ENSG00000138443
ENSG00000168918	ENSG00000138443
ENSG00000213281	ENSG00000138443
ENSG00000100351	ENSG00000138443
ENSG00000068078	ENSG00000138443
ENSG00000174021	ENSG00000138443
ENSG00000113070	ENSG00000138443
ENSG00000133703	ENSG00000138443
ENSG00000127920	ENSG00000138443
ENSG00000105639	ENSG00000138443
ENSG00000117461	ENSG00000138443
ENSG00000203747	ENSG00000138443
ENSG00000276293	ENSG00000138443
ENSG00000049130	ENSG00000138443
ENSG00000211592	ENSG00000138443
