TCGA.EB.A6QZ	TCGA.EB.A5KH	TCGA.EB.A6QY	TCGA.EB.A553	TCGA.EB.A57M	TCGA.EB.A85J	TCGA.D3.A51H	TCGA.EB.A3Y6	TCGA.EB.A5SH	TCGA.EB.A5UL	TCGA.W3.A825	TCGA.EB.A3XC
ENSG00000007372	38	16	39	8	34	99	122	238	24	99	139	20
ENSG00000007376	2116	1539	3185	1437	3600	3267	1492	1723	2714	2598	1563	2036
ENSG00000007384	2987	2890	1669	967	4464	2826	1433	3333	2707	3173	2714	1869
ENSG00000007392	2054	937	1484	2497	934	2206	2595	2393	998	2137	3724	866
ENSG00000007402	17	14	29	32	97	506	138	88	70	93	1628	35
ENSG00000007516	115	55	108	62	42	119	74	20	932	188	1040	165
ENSG00000007520	2869	2854	2896	1141	3687	3821	1779	2347	2828	2773	2653	3217
ENSG00000007541	3090	4159	3258	1590	3724	2924	1562	3123	4461	2242	3032	1235
ENSG00000007545	1007	944	1037	519	1209	1002	746	1084	1109	837	1545	952
ENSG00000007866	1536	1598	776	412	2819	1545	319	1291	4385	715	1916	811
ENSG00000007908	27	4	120	93	1247	117	386	57	32	129	109	412
ENSG00000007923	2670	3389	4370	574	1670	2152	1177	2135	2399	4393	1917	2437
ENSG00000007933	65	12	99	10	422	154	100	447	38	50	132	104
ENSG00000007944	2457	3191	1590	377	3233	2925	898	2858	5649	2587	1317	2188
ENSG00000007952	34	8	54	63	19	50	26	101	33	66	73	15
ENSG00000007968	847	559	554	215	518	988	809	470	446	1446	589	592
ENSG00000008018	5789	5014	9380	5029	3294	8519	5992	4915	3439	6723	8710	9518
ENSG00000008056	36	68	16	41	137	20	87	29	88	108	539	18
ENSG00000008083	3427	5421	2585	1879	3333	5078	1683	3584	4410	5458	4941	2466
ENSG00000008086	427	277	361	76	503	171	213	577	443	667	930	167
ENSG00000008118	151	8	25	176	52	804	28	58	15	97	673	90
ENSG00000008128	564	214	488	681	131	332	746	412	184	716	448	231
ENSG00000008130	8231	2396	4038	1205	2781	3699	3098	2778	2372	4733	3312	3512
ENSG00000008196	4	2008	56	9	49	77	1	360	0	0	104	23
ENSG00000008197	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008226	16	3	32	19	18	27	113	21	9	33	97	8
ENSG00000008256	17576	22379	20998	4940	7659	6092	1521	29216	18798	20496	3697	13415
ENSG00000008277	205	21	387	10	53	80	342	167	38	137	469	14
ENSG00000008282	7193	2025	11148	966	4717	3292	3153	5735	2807	5173	3097	6793
ENSG00000008283	1520	1627	1087	722	3251	3044	887	2486	2071	2684	1343	2440
ENSG00000008294	7667	3481	14466	1520	4673	4941	3453	11375	4265	12206	6467	4355
ENSG00000008300	59	34	677	369	235	1324	510	103	168	451	1423	405
ENSG00000008311	560	353	1000	188	299	394	222	868	229	1331	503	858
ENSG00000008323	51	3	125	22	229	3	11	30	5	8	19	44
ENSG00000008324	510	230	503	1018	521	874	1051	1068	583	677	626	703
ENSG00000008382	1301	1168	624	872	1819	1407	741	722	2183	932	1762	540
ENSG00000008394	79	3	8325	34	348	467	29	1162	6	1880	853	1524
ENSG00000008405	886	331	2116	230	870	975	255	960	348	1184	1637	999
ENSG00000008438	4	0	2	1	1	3	2	3	1	4	0	3
ENSG00000008441	9202	13168	1118	924	11496	4290	1121	2983	5002	2936	1326	3290
ENSG00000008513	6812	1059	2352	2260	3388	4551	3241	4994	4120	2804	17495	1762
ENSG00000008516	19	86	108	33	101	781	360	39	105	83	129	87
ENSG00000008517	114	407	384	1109	1162	4401	3955	811	901	1462	2113	618
ENSG00000008710	3282	4859	3409	2706	4215	3789	2744	4198	5622	4142	8982	2950
ENSG00000008735	134	220	219	162	280	1146	519	175	802	520	843	640
ENSG00000008838	6079	7541	5179	1454	5104	8339	3146	6637	9405	6775	6726	3757
ENSG00000008853	3406	2593	1897	969	1764	4985	2054	3790	4807	3816	4119	2008
ENSG00000008869	2068	1104	3482	673	1536	1459	2118	2285	2058	2432	2100	2125
ENSG00000008952	1910	1740	6671	3009	1185	2896	5487	6131	868	6050	4762	2261
ENSG00000008988	41229	38990	19406	30117	30740	80688	53572	35758	60286	32478	70987	20644
ENSG00000009307	22628	14031	34397	3966	11890	21808	15284	21636	7927	23348	21387	22434
ENSG00000009335	6171	2050	12383	2469	3386	3119	2538	8789	2804	9965	4126	10975
ENSG00000009413	3438	1424	2149	199	592	2031	682	2009	1160	2058	1339	1029
ENSG00000009694	2	0	36	1	7	13	86	7	0	22	473	54
ENSG00000009709	4	0	2	0	0	1	0	6	22	5	5	0
ENSG00000009724	50	18	66	10	15	35	99	59	2	245	104	7
ENSG00000009765	0	0	3	0	1	2	1	0	0	0	3	2
ENSG00000009780	702	193	695	263	450	576	509	695	1087	953	388	626
ENSG00000009790	60	75	88	54	128	716	4653	134	248	871	615	78
ENSG00000009830	2394	2821	1543	1029	2781	1674	455	2225	2374	2042	1301	2137
ENSG00000009844	1375	999	4479	494	608	1871	1405	1689	935	2539	2984	2543
ENSG00000009950	10	3	2	12	16	34	63	1	4	3	83	11
ENSG00000009954	6969	5958	9000	2525	5066	3313	3459	7363	2906	9199	7318	9770
ENSG00000010017	2810	2269	4798	726	1835	3223	1854	4021	1920	5206	3030	2420
ENSG00000010030	320	5	103	27	166	1900	343	348	23	679	245	101
ENSG00000010072	537	191	931	269	366	923	476	1498	266	1033	603	743
ENSG00000010165	3682	2244	4255	779	3156	3856	1097	6598	2723	3542	2520	3836
ENSG00000010219	841	661	914	800	649	1148	831	1124	678	1267	911	680
ENSG00000010244	10061	3591	9093	1725	5230	7218	6454	10741	4907	9633	9009	7327
ENSG00000010256	8498	7697	10549	11396	12244	14679	5586	11584	14919	11559	9078	14032
ENSG00000010270	2062	982	2887	441	1216	1788	826	2850	897	3220	2482	2926
ENSG00000010278	9732	2137	7501	997	9759	4297	1787	6752	4397	15428	2084	8571
ENSG00000010282	3130	8	7	1	4	1	27	110	7	36	3	0
ENSG00000010292	9890	9558	7499	896	4787	5284	5101	3154	8825	9193	9689	9583
ENSG00000010295	3047	2043	4251	2210	1816	1531	2506	1670	3883	4309	1911	1512
ENSG00000010310	20	3	264	11	33	71	163	28	4	224	183	24
ENSG00000010318	136	49	240	147	201	451	285	322	106	388	152	177
ENSG00000010319	98	117	165	176	2087	98	267	261	344	273	1016	400
ENSG00000010322	2969	1717	2187	3879	4166	4030	3712	3878	7875	5049	8099	2334
ENSG00000010327	1256	1056	790	2627	5323	1701	3225	2660	832	1685	7078	1799
ENSG00000010361	1412	1788	727	900	1264	1084	543	1139	1234	947	735	1329
ENSG00000010379	3	1	5	13	5	3	14	0	2	14	6	17
ENSG00000010404	2912	2008	5804	1694	2709	4719	6346	6209	2849	10114	8452	3613
ENSG00000010438	24	0	804	0	346	2	3	8	1	3	59	415
ENSG00000010539	604	162	673	209	285	363	513	515	312	523	1064	624
ENSG00000010610	523	1108	620	1090	3254	3622	6776	1793	2008	1954	4953	1125
ENSG00000010626	586	285	1184	265	444	588	320	621	433	638	873	487
ENSG00000010671	289	45	148	128	393	390	4979	631	192	893	324	199
ENSG00000010704	838	112	963	39	453	99	168	1524	25	500	162	1071
ENSG00000010803	3492	3291	1363	1315	2823	1836	1286	2295	4743	3500	1874	1145
ENSG00000010810	3376	3085	7350	1722	3688	4979	7132	5540	3227	7386	9788	4516
ENSG00000010818	604	1063	3044	492	772	521	2150	1018	152	1868	2099	1210
ENSG00000010932	141	16	85	103	223	24	39	506	11	63	31	86
ENSG00000011007	4173	1645	7387	1256	2624	3409	2108	4089	1923	7481	4108	4834
ENSG00000011009	6698	5229	5996	2976	4732	6478	3014	4570	4261	5706	5375	4476
ENSG00000011021	1861	2105	2196	726	2244	1914	1237	1708	2136	4637	1479	1364
ENSG00000011028	3145	600	1370	2103	7879	1712	981	2828	380	758	21805	1597
ENSG00000011052	109	38	115	26	59	38	57	198	43	50	98	34
ENSG00000011083	0	0	1	1	2	12	19	3	3	5	12	2
ENSG00000011105	7150	4788	2674	950	4328	2200	666	2364	12215	3316	6919	2561
ENSG00000011114	2087	1247	1583	706	1449	1628	875	1321	1775	925	1636	1200
ENSG00000011132	994	775	480	978	1085	1251	1256	1054	1720	1225	1294	675
ENSG00000011143	1175	688	1724	424	682	1170	501	1391	900	1294	1582	725
ENSG00000011198	521	116	978	196	523	440	221	1231	378	556	296	1303
ENSG00000011201	141	14	79	10	106	138	153	224	319	61	613	38
ENSG00000011243	2696	2653	1527	1919	3359	2643	2641	2073	2642	3262	2651	1652
ENSG00000011258	767	365	1433	309	346	887	989	883	461	1213	3319	364
ENSG00000011260	2546	947	4248	450	1549	2595	1795	3562	1346	4864	3037	2563
ENSG00000011275	4189	5531	7507	2368	6229	2874	3846	3931	4633	7098	4347	4176
ENSG00000011295	3673	1373	2866	606	1547	2520	1091	3493	1119	2410	3473	1774
ENSG00000011304	18397	25108	14418	9769	20118	17789	14346	13436	20647	21429	25079	14418
ENSG00000011332	107	3	141	92	65	102	27	86	206	95	159	169
ENSG00000011347	80	62	126	109	210	122	16	180	110	35	863	80
ENSG00000011376	1266	1048	2112	454	1357	1516	618	3330	2339	1776	1058	2233
ENSG00000011405	1733	941	2754	333	619	736	1479	2290	322	1779	2941	1462
ENSG00000011422	597	141	2251	1036	1109	1608	2106	841	173	1797	3812	3116
ENSG00000011426	2232	2225	5201	869	1025	1903	672	2224	521	5396	1670	11883
ENSG00000011451	4481	6531	2135	2509	7795	4895	2081	3742	7499	4517	4431	2430
ENSG00000011454	1793	1139	1976	711	1422	1704	1854	3088	1588	2497	2398	1567
ENSG00000011465	1524	747	3163	1468	13407	292	2243	15242	584	1924	2335	6022
ENSG00000011478	1198	1528	4420	4733	1564	2318	913	2166	2078	6048	704	2321
ENSG00000011485	5416	2770	3425	1812	3779	5420	2458	3817	7177	6370	3461	2515
ENSG00000011523	1496	861	1305	1200	1468	1576	996	1869	1914	1368	1858	1882
ENSG00000011566	1354	311	3082	953	340	1200	825	1859	501	1465	1591	1162
ENSG00000011590	4	7	21	7	25	61	262	25	15	174	52	12
ENSG00000011600	715	424	679	2877	1802	4048	3495	1860	1249	2298	4736	1377
ENSG00000011638	1128	746	3619	364	1212	705	496	1409	279	1132	678	1370
ENSG00000011677	1189	7	156	170	519	0	242	408	10	29	136	214
ENSG00000012048	1012	366	2813	315	325	909	808	2193	325	3109	1138	1287
ENSG00000012061	5959	3788	3264	2205	4593	3659	2596	3544	5119	6055	3159	3646
ENSG00000012124	640	261	1437	168	125	518	27662	710	805	2076	167	291
ENSG00000012171	1106	59	252	45	3106	82	3553	5701	2526	4082	1680	2731
ENSG00000012174	1680	778	2087	162	733	798	349	4099	771	2261	1329	1567
ENSG00000012211	621	615	1399	718	1027	719	439	787	718	1818	316	1015
ENSG00000012223	34	18	159	2302	8376	28	4565	21	75	332	908	1119
ENSG00000012232	4087	4680	4464	1822	3480	5261	1009	6391	11023	3403	12138	2822
ENSG00000012504	2	0	0	0	0	8	0	0	0	0	6	2
ENSG00000012660	3788	1891	8587	942	4152	4937	5127	7298	9184	2558	4015	2828
ENSG00000012779	77	137	131	186	649	433	4042	364	150	594	801	328
ENSG00000012817	10	1848	2922	312	1519	1	5899	2	2	5377	4	301
ENSG00000012822	4025	3616	3901	1008	3951	3130	2621	3232	3478	3326	5430	1501
ENSG00000012963	4353	1240	2826	957	2288	2837	1703	2583	1926	2236	2004	2776
ENSG00000012983	866	1286	2138	424	1344	1195	1007	1911	1065	2046	2211	1481
ENSG00000013016	737	264	2216	105	2240	444	1100	1252	408	633	797	7677
ENSG00000013275	7818	3471	6944	5244	6909	6279	4311	5799	4541	6936	3291	6749
ENSG00000013288	5977	2767	9553	780	5585	3889	3140	6315	5820	3787	1527	2901
ENSG00000013293	0	1	0	2	3	8	6	3	0	1	4	0
ENSG00000013297	116	19	35	24	289	69	52	77	18	247	646	30
ENSG00000013306	5872	9930	12767	9003	6731	9782	5389	9468	7558	12258	5791	7544
ENSG00000013364	6206	9174	10139	6781	14163	11499	10894	14748	3217	7468	4560	8743
ENSG00000013374	3597	2062	6255	1851	4212	4369	4185	4913	3476	5601	3174	5941
ENSG00000013375	686	755	5362	729	464	1157	997	1267	427	2409	3406	1442
ENSG00000013392	231	71	793	169	147	229	293	417	119	533	432	250
ENSG00000013441	2596	744	2645	3841	590	2124	7698	4190	663	7379	6182	1238
ENSG00000013503	713	365	1511	280	745	557	241	661	458	859	670	1085
ENSG00000013523	3150	1591	1646	707	3456	1573	1008	1796	3763	1383	1241	1168
ENSG00000013561	2597	813	3277	836	4160	3082	2784	7271	1654	3650	1179	1690
ENSG00000013563	1608	167	2654	484	1585	721	1063	2283	337	2722	726	696
ENSG00000013573	756	1242	2075	737	1147	1527	960	1705	1203	2996	2558	1548
ENSG00000013583	1226	2841	2092	736	1961	3470	1095	2070	4460	3814	1333	2433
ENSG00000013588	507	657	2215	40	1095	922	895	571	70	5008	4028	2202
ENSG00000013619	3550	1295	479	1039	3359	2073	447	4244	4853	1385	464	848
