TCGA.3B.A9HP	TCGA.X9.A971	TCGA.3B.A9I0	TCGA.K1.A3PN	TCGA.IE.A3OV	TCGA.3B.A9HR	TCGA.DX.A8BV	TCGA.3B.A9HL	TCGA.X6.A8C4	TCGA.DX.A6YX	TCGA.DX.A3LU	TCGA.3B.A9HV	TCGA.FX.A48G	TCGA.DX.A3UC	TCGA.DX.A8BU
ENSG00000008130	2604	3593	4331	3121	4787	2568	2995	4243	3720	5611	2092	1927	895	1205	2715
ENSG00000008196	0	14	0	0	17	4	0	0	1	1	0	4778	4	0	0
ENSG00000008197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008226	52	56	91	26	47	16	6	6	16	4	24	5	8	15	4
ENSG00000008256	2769	3404	2550	1697	1786	2883	5868	4053	1948	5436	558	3826	1905	2977	4359
ENSG00000008277	2723	3672	3852	1378	8910	8189	463	239	14	287	78	3774	1142	5758	616
ENSG00000008282	5925	11065	7750	6269	12431	7398	5069	5455	4024	13046	2617	8680	3058	5308	5919
ENSG00000008283	1440	668	234	196	860	199	4816	2073	1673	4773	3891	275	358	137	461
ENSG00000008294	3615	11199	3921	3664	5631	12850	7185	5414	3818	12820	2571	5675	2304	3238	8273
ENSG00000008300	719	6923	2239	2080	5743	974	156	246	33	2835	48	202	70	761	649
ENSG00000008311	368	695	460	99	644	585	740	572	448	902	90	490	311	298	1264
ENSG00000008323	33	8	25	124	16	15	11	37	5	14	6	6	25	6	8
ENSG00000008324	714	750	796	637	567	938	668	826	1001	604	1381	814	1059	378	568
ENSG00000008382	1139	2552	1454	1803	1152	1998	895	745	596	1740	1613	999	1845	934	645
ENSG00000008394	4385	555	6	2322	38	1014	3445	3866	10285	9512	2489	8	13	3262	1026
ENSG00000008405	1047	3638	1916	688	2452	1761	727	2666	1772	2042	893	1153	228	644	2579
ENSG00000008438	0	2	2	0	0	19	1	7	0	1	0	2	3	0	1
ENSG00000008441	15040	38825	11402	8592	33717	25853	10523	16004	16411	7609	5520	24166	10319	9225	17259
ENSG00000008513	6155	1239	8140	4567	6326	6849	3846	3238	1369	19751	1502	5543	3746	4519	2840
ENSG00000008516	97	42	251	22	201	21	129	41	15	15	100	16	40	98	15
ENSG00000008517	3657	3274	4161	1079	2546	336	5349	2317	447	2143	16405	379	1897	1462	2537
ENSG00000008710	8851	16131	11434	23240	27804	15720	4916	9362	3611	6420	1780	11453	13114	10333	9818
ENSG00000008735	180	369	132	340	120	88	22	549	29	294	257	346	472	50	18
ENSG00000008838	3930	4092	4760	3677	2761	6327	3600	4642	3969	3418	2621	5266	3308	1744	3592
ENSG00000008853	1807	3605	5541	4605	2214	1038	1302	1694	1097	1436	1126	1112	2644	1939	1365
ENSG00000008869	1152	1148	1454	608	1433	1396	1375	1307	1438	2583	524	1575	239	320	1089
ENSG00000008952	4416	4201	3291	3113	7016	5364	6076	6428	5028	8052	5316	3527	5162	1656	6325
ENSG00000008988	60509	21327	53484	53159	41646	44100	40622	43424	105088	37861	79984	54625	182160	12405	35995
ENSG00000009307	27810	26699	28284	31109	61962	53689	22956	35264	111477	33680	14140	36796	10327	10708	53562
ENSG00000009335	3083	6272	3285	3240	5718	9885	3199	4372	6870	12925	1225	6171	544	2350	2519
ENSG00000009413	1608	3858	1198	885	1821	2754	3890	6428	1161	1931	604	1450	424	1376	4700
ENSG00000009694	183	233	1444	317	560	2147	467	14	113	6	0	796	79	465	13
ENSG00000009709	1	0	4	1	0	0	0	3	0	0	0	0	0	0	7504
ENSG00000009724	87	96	105	22	95	291	11	100	60	23	0	42	2	10	25
ENSG00000009765	1	1	0	0	0	0	1	0	2	6	1	2	2	0	1
ENSG00000009780	835	1443	1487	1148	1664	1811	765	902	1039	1101	506	1060	224	508	1487
ENSG00000009790	257	136	473	118	475	60	109	49	59	69	514	1193	68	77	43
ENSG00000009830	965	2443	1050	1037	1239	2371	886	1685	2074	3646	889	355	948	1091	875
ENSG00000009844	1477	2453	1411	973	1656	1987	2314	2884	2358	2639	1329	2761	1179	791	3921
ENSG00000009950	4	41	1	1	26	8	232	115	1	3	599	8	9	2	14
ENSG00000009954	4968	10200	5437	8637	9229	11263	7448	6282	8659	19785	3296	11081	4101	5372	10772
ENSG00000010017	2115	7675	1633	1707	4764	5841	2885	2831	2714	5194	1039	5881	455	1382	3518
ENSG00000010030	190	58	453	38	694	26	103	67	15	55	1481	166	396	86	32
ENSG00000010072	395	723	292	431	1099	640	391	554	664	448	315	530	127	250	332
ENSG00000010165	2148	2335	1965	2900	2871	2487	2559	2161	3882	1885	1241	2307	2378	644	2221
ENSG00000010219	1214	1679	1151	1249	822	1365	553	725	563	731	798	1802	3290	782	231
ENSG00000010244	5554	7742	5314	4611	5180	9228	5407	4563	6652	7383	3531	9174	3424	3290	4368
ENSG00000010256	8335	10057	12867	17960	16077	17983	6241	7629	12390	10600	9411	15122	19519	5209	6636
ENSG00000010270	2037	1240	1571	4842	1709	2426	1784	2142	5557	3930	1528	2258	1728	3217	1700
ENSG00000010278	10417	18800	13520	17320	22749	12244	4316	946	897	4346	80	28306	1553	4932	2676
ENSG00000010282	16	108	67	12	48	7374	10	4	0	0	6	7	29	14	27
ENSG00000010292	2665	22289	8239	11726	11084	11352	4749	5128	15449	17974	2014	13646	1959	4243	5638
ENSG00000010295	2555	2330	4017	1955	2998	2207	2740	2458	2720	6771	2949	2024	3377	1417	2624
ENSG00000010310	14	44	26	5	12	8	414	215	3	6	36	5	1	3	14
ENSG00000010318	151	689	434	632	618	984	168	158	269	317	114	208	26	244	172
ENSG00000010319	699	278	926	770	1664	1130	1493	3692	23	55	412	109	111	262	136
ENSG00000010322	7611	7171	9422	3582	8515	13485	5733	5649	7274	4892	3645	7662	7526	2717	5174
ENSG00000010327	14273	2247	7422	2325	4058	1823	18389	31412	9669	11639	45231	1265	11511	4266	9835
ENSG00000010361	1141	844	1181	931	655	2057	639	855	690	1225	954	1848	1132	772	1103
ENSG00000010379	5	7	8	0	0	15	2	4	4	4	1	3	1	3	4
ENSG00000010404	4780	5093	5202	3425	5028	8955	5658	1133	5621	16888	1483	5889	1399	2446	12493
ENSG00000010438	2	3	1	34	1	7	0	8	0	5796	0	4	83	22	0
ENSG00000010539	539	1050	454	624	918	475	441	791	348	484	268	717	144	198	447
ENSG00000010610	2982	696	7821	1593	7542	714	5591	6237	2549	5090	19742	319	1695	1117	2068
ENSG00000010626	509	254	578	846	392	528	263	391	748	690	562	559	1159	257	296
ENSG00000010671	324	105	694	202	455	88	300	319	223	325	1495	61	151	110	155
ENSG00000010704	446	168	260	103	318	1031	615	452	396	1424	696	285	60	94	222
ENSG00000010803	2679	3169	4320	5847	4964	4823	2391	2551	3625	6243	853	5976	1220	3357	5597
ENSG00000010810	3401	5395	1898	1063	3370	7224	12969	47113	2122	1739	9392	1312	4911	3290	5497
ENSG00000010818	1793	3663	1900	480	3753	5324	2408	3973	2805	4085	1331	4460	953	1063	7132
ENSG00000010932	52	19	6	26	23	2	235	759	190	34	34	43	7	1	869
