TCGA.50.5066	TCGA.55.6712	TCGA.55.6979	TCGA.50.5072	TCGA.50.5055	TCGA.NJ.A7XG	TCGA.55.8615	TCGA.73.A9RS	TCGA.55.7914	TCGA.53.7813	TCGA.53.7624	TCGA.50.6595	TCGA.J2.8194	TCGA.55.7227	TCGA.69.7974	TCGA.93.A4JN	TCGA.95.A4VP
ENSG00000010072	2192	281	258	650	355	545	627	561	1074	543	862	536	1485	408	987	872	475
ENSG00000010165	6498	885	752	2898	773	2120	2041	1210	2299	704	2298	1523	3861	1301	2491	3155	1281
ENSG00000010219	537	395	350	791	654	904	916	231	580	537	260	559	611	554	851	510	1272
ENSG00000010244	17968	4079	2803	8196	3852	8345	4211	3493	7944	4976	8148	5405	10153	7257	15106	8770	4661
ENSG00000010256	12785	3694	2552	8819	4134	6106	6298	3469	3692	1808	5861	4669	10841	5028	10398	6600	7454
ENSG00000010270	4922	1004	1052	1907	2274	1329	2010	752	1622	803	2402	2100	4201	1336	2956	1376	888
ENSG00000010278	32789	18980	12711	27982	11687	16096	21851	5546	4731	7432	26395	6420	23701	12618	24033	12490	8432
ENSG00000010282	10	0	1	2	18	2	2	0	2	0	1	1	11	16	710	2	6
ENSG00000010292	12880	4926	945	17051	1864	2044	3942	2831	1572	1765	10842	5438	2808	1979	7840	5315	3694
ENSG00000010295	1189	211	426	276	374	183	228	150	371	164	216	296	581	382	1047	1259	992
ENSG00000010310	466	31	72	62	70	1477	573	675	104	92	113	23	403	308	459	348	336
ENSG00000010318	479	96	78	168	98	241	128	95	86	84	97	60	223	151	247	224	143
