TCGA.D7.6520	TCGA.HU.A4GX	TCGA.BR.8371	TCGA.D7.A747	TCGA.CG.5732	TCGA.CG.5724	TCGA.CD.8524	TCGA.CG.4477	TCGA.VQ.A91V	TCGA.CD.8527	TCGA.CG.5717
ENSG00000009307	24426	26644	44878	17114	16552	11837	40879	29870	27073	12062	25399
ENSG00000009335	7220	8851	5342	2767	5083	4885	6044	6320	14800	2670	5741
ENSG00000009413	1031	3394	3253	1870	805	890	1971	3670	2395	790	1721
ENSG00000009694	65	30	492	410	45	18	86	70	25	48	22
ENSG00000009709	1	1	5	17	0	13	0	55	2	15	0
ENSG00000009724	9	124	191	130	53	10	83	119	61	46	24
ENSG00000009765	4979	1222	189	621	4722	101	68	271	6569	3124	37
ENSG00000009780	1262	937	1168	482	537	296	1392	818	846	466	581
ENSG00000009790	105	597	836	380	449	102	406	524	164	108	456
ENSG00000009830	714	1112	795	509	669	1757	1363	750	1431	937	704
ENSG00000009844	4562	5258	1669	1254	5746	2991	6226	5312	5127	2977	4476
ENSG00000009950	202	1942	31	1245	2288	71	64	472	551	782	78
ENSG00000009954	9161	15667	9157	3411	3839	9353	9988	7073	10530	10168	4711
ENSG00000010017	3343	3665	3678	2137	2255	2624	5945	5092	4756	3562	8119
ENSG00000010030	2289	3722	447	135	1223	2011	1332	1825	1610	2379	513
ENSG00000010072	1261	999	530	305	656	420	1456	823	1040	695	740
ENSG00000010165	3372	2478	1048	579	2061	1787	2697	1477	3276	1045	1519
ENSG00000010219	518	2258	1696	748	452	1934	745	1030	380	1172	733
ENSG00000010244	7726	12026	7903	3718	6364	9124	14468	13696	14482	14236	11576
ENSG00000010256	12525	10972	9580	3672	18348	13466	9662	6279	11358	5627	10984
ENSG00000010270	1835	2313	1454	742	1264	1763	1741	2102	3034	1326	669
ENSG00000010278	20066	18575	21288	6019	3575	19399	12754	27555	8844	7179	35094
ENSG00000010282	0	1	8	3	0	3	6	1	5	4	0
ENSG00000010292	6924	10607	3543	2030	3289	14490	7076	8239	4144	3379	4109
ENSG00000010295	423	309	1629	518	245	288	948	331	153	387	337
ENSG00000010310	24	231	20	24	86	67	280	132	1030	157	31
ENSG00000010318	149	146	397	151	180	126	190	270	98	187	193
ENSG00000010319	516	345	1056	204	358	152	1675	332	363	174	651
ENSG00000010322	5666	2603	8812	3088	2840	1910	5373	3296	3692	2205	5068
ENSG00000010327	2201	2179	1813	1544	2280	1865	3637	3700	2123	971	3122
ENSG00000010361	1529	369	986	223	545	1309	3306	181	216	296	441
ENSG00000010379	4	1	11	17	36	7	4	15	4	18	5
ENSG00000010404	9487	5987	13801	5752	4874	3125	23320	7916	6515	14621	5109
ENSG00000010438	3415	6197	524	726	7411	10678	4583	1365	5359	5154	1972
ENSG00000010539	680	789	563	255	572	301	681	632	550	751	353
ENSG00000010610	3329	3787	2011	1782	3166	2038	3357	5348	815	1237	3518
ENSG00000010626	692	383	409	184	150	399	384	532	62	348	172
ENSG00000010671	206	370	808	296	489	87	360	677	102	101	505
ENSG00000010704	895	2163	678	165	731	694	1751	880	1574	926	404
ENSG00000010803	3905	3442	7931	2794	2212	1568	3752	1857	2769	1883	1288
ENSG00000010810	1984	1933	4217	1071	1506	896	6944	2148	1595	1160	1648
ENSG00000010818	3248	5411	3203	2384	3249	2315	4358	8212	4542	1493	5475
ENSG00000010932	101	172	72	231	26	191	213	175	32	44	185
ENSG00000011007	2911	3865	3310	1256	3117	2442	4265	3311	6613	1948	5044
ENSG00000011009	9410	5057	1840	865	7539	5247	9062	3892	7556	3338	4791
