TCGA.50.5066	TCGA.55.6712	TCGA.50.5068	TCGA.55.6979	TCGA.50.5072	TCGA.50.5055	TCGA.55.8615	TCGA.73.A9RS	TCGA.50.5936	TCGA.53.7813	TCGA.95.A4VP
ENSG00000010404	33006	18514	3451	3639	3711	4081	2575	889	6746	2891	2794
ENSG00000010438	77	3	11	1	179	11	2	9	3	6	3
ENSG00000010539	1335	293	239	204	532	319	302	412	271	265	298
ENSG00000010610	6410	4381	2033	6173	3625	6433	1924	947	5566	744	3931
ENSG00000010626	1384	536	631	324	1413	881	552	743	359	140	328
ENSG00000010671	961	438	1148	1016	251	1522	118	111	1257	315	621
ENSG00000010704	1936	419	817	338	2114	610	663	715	607	312	566
ENSG00000010803	4155	1235	434	743	1334	863	2663	909	1567	903	1885
ENSG00000010810	3753	1629	715	1041	1065	2128	1511	424	2764	663	3031
ENSG00000010818	7004	2809	384	981	1975	1210	1106	918	1655	607	1440
ENSG00000010932	72	170	109	25	94	110	20	45	19	40	63
ENSG00000011007	8676	2582	1361	2110	3922	1375	2190	1389	3687	1632	2379
ENSG00000011009	12288	2879	1710	1218	4512	2834	2988	2471	1454	940	5069
ENSG00000011021	4558	493	140	713	478	293	577	506	930	743	1093
ENSG00000011028	7059	2105	1981	4241	5296	2683	3184	709	9435	518	7114
ENSG00000011052	135	39	22	9	42	14	53	18	10	3	66
ENSG00000011083	5	2	3	14	8	8	7	0	1	8	1
ENSG00000011105	4527	1045	503	1206	2761	2091	1483	707	3140	363	2955
ENSG00000011114	5484	977	377	1000	2114	610	1418	565	1691	1271	888
ENSG00000011132	1324	254	893	298	421	578	1176	738	336	106	1028
ENSG00000011143	1905	238	385	293	974	391	1533	520	338	358	513
ENSG00000011198	1768	516	907	905	827	298	779	937	1240	178	608
ENSG00000011201	2558	109	1020	5000	560	657	114	77	8576	441	1766
ENSG00000011243	4828	979	407	969	1578	783	2110	1471	997	725	2723
ENSG00000011258	5446	1055	462	565	1075	442	1522	442	817	1168	533
ENSG00000011260	7661	2053	2262	683	1979	1123	1650	572	755	804	762
ENSG00000011275	12239	3063	625	1142	3350	1860	3368	1844	2020	911	1763
ENSG00000011295	5091	1190	1937	1384	2787	1423	2552	953	1797	870	1348
ENSG00000011304	32789	6952	3761	4371	18916	6301	15510	8882	6908	4562	12777
ENSG00000011332	193	17	8	6	27	7	12	8	11	6	36
ENSG00000011347	12814	817	90	92	1034	467	8084	6175	181	1395	4987
ENSG00000011376	3281	643	234	363	1245	364	734	637	566	258	551
ENSG00000011405	10410	1669	1496	1758	2130	1384	2259	1345	3515	1796	1610
ENSG00000011422	4627	2237	1382	3053	6371	1998	1395	752	2652	333	2356
ENSG00000011426	9363	4195	302	94	9866	324	1324	3560	102	585	445
ENSG00000011451	4203	1302	445	951	2107	926	2117	1286	1544	550	2145
ENSG00000011454	9483	1647	679	1652	2371	1114	1835	1024	2899	1508	2194
ENSG00000011465	33036	10709	29289	11603	17710	38382	7233	1873	29682	2946	13645
ENSG00000011478	931	285	1026	221	329	394	636	567	313	358	782
ENSG00000011485	7441	1321	1833	1085	3053	1627	3092	3009	1654	1059	3279
ENSG00000011523	3681	1372	418	696	812	745	1140	255	1122	559	1179
ENSG00000011566	5357	1693	2273	731	1900	990	1951	853	1348	897	1044
ENSG00000011590	278	25	27	16	19	70	18	25	8	19	120
ENSG00000011600	4273	2373	8937	6382	2529	4232	1309	607	6177	219	2583
ENSG00000011638	4726	4293	4984	1042	3065	2468	1203	306	981	1516	1328
ENSG00000011677	46	4137	0	0	51	3	2	0	1	0	0
ENSG00000012048	2621	955	108	112	1868	194	449	437	169	295	299
ENSG00000012061	3219	915	2025	798	1414	1514	2208	1982	1104	858	3126
ENSG00000012124	1503	422	223	470	127	3131	83	57	712	77	1251
ENSG00000012171	3724	1058	407	1505	656	377	671	279	3423	36	1584
ENSG00000012174	1988	1101	475	511	1781	512	1129	492	904	444	415
ENSG00000012211	1733	450	275	138	499	231	753	517	275	172	662
ENSG00000012223	114	744	1420	1153	16206	16664	64	690	503	1070	5174
ENSG00000012232	4454	2040	423	913	4899	1037	1533	345	1802	503	2969
ENSG00000012504	341	0	2	4	50	19	0	0	8	2	7
ENSG00000012660	20294	4092	2700	3218	6150	4290	6398	3351	3448	3487	3019
ENSG00000012779	3116	1556	1023	4550	1132	1928	797	217	7777	275	1555
ENSG00000012817	2540	825	1	0	1899	0	5793	232	1381	0	0
ENSG00000012822	7415	1987	1015	3765	2728	1637	3283	1882	6378	2110	4441
