TCGA.NH.A50U	TCGA.A6.A565	TCGA.AA.A02K	TCGA.AZ.6606	TCGA.NH.A8F8	TCGA.AZ.4682	TCGA.AA.3973	TCGA.AZ.6600	TCGA.NH.A6GB	TCGA.AA.3844	TCGA.AA.3972	TCGA.AA.3692
ENSG00000008438	5	13	14	7	5	2	0	0	6	2	6	6
ENSG00000008441	8057	2706	5776	6102	5171	5105	3067	4716	2100	2354	3129	1783
ENSG00000008513	433	3210	189	2070	4054	567	286	763	2822	640	358	315
ENSG00000008516	57	365	179	36	73	77	40	135	146	57	22	113
ENSG00000008517	7048	7823	2661	6121	6726	8879	3073	2614	7395	4623	2743	3480
ENSG00000008710	5105	4918	5370	2386	3786	1286	851	2726	2766	842	982	1122
ENSG00000008735	193	45	234	19	88	30	120	107	92	8	28	33
ENSG00000008838	6939	4905	19997	4578	4871	4128	1609	4341	6234	1440	2287	3181
ENSG00000008853	1365	1096	558	557	619	496	201	472	398	245	199	190
ENSG00000008869	2509	2659	1939	1641	1242	966	808	1396	1281	456	576	678
ENSG00000008952	5223	6879	3773	4776	3623	4834	2211	4991	2598	2188	1919	3165
ENSG00000008988	62498	28145	39433	43313	28828	83568	15176	22154	46582	12508	13392	24195
ENSG00000009307	23583	26991	19169	24455	18977	34819	4724	19272	16648	7952	10486	14083
ENSG00000009335	8576	7714	9948	6073	4962	6495	2876	4427	5442	3477	2319	2894
ENSG00000009413	1554	1474	967	799	996	559	337	1023	706	230	331	348
ENSG00000009694	4	109	11	3	21	6	2	30	4	1	2	1
ENSG00000009709	0	3	6	7	89	0	0	0	0	0	4	0
ENSG00000009724	89	129	53	20	35	8	10	72	61	14	57	13
ENSG00000009765	1877	2711	1703	1699	1977	3205	818	1347	1303	1267	777	981
ENSG00000009780	698	990	609	546	300	490	186	440	418	400	273	294
ENSG00000009790	127	1999	75	105	136	54	23	140	133	62	28	134
ENSG00000009830	1575	1561	755	1062	623	629	377	589	547	330	217	362
ENSG00000009844	4151	3077	2669	2938	2124	3311	1142	2432	2070	1106	1233	1452
ENSG00000009950	14436	414	3502	2623	2818	2497	1308	231	2299	791	1316	1848
ENSG00000009954	8407	7476	8979	6014	4556	4945	1995	3416	5076	2410	1726	2480
ENSG00000010017	3553	2815	1952	2400	1948	2580	1139	1700	1712	893	1207	771
ENSG00000010030	1209	262	1169	781	551	605	264	217	517	336	280	160
ENSG00000010072	518	636	678	967	525	1009	329	420	434	226	277	450
ENSG00000010165	2474	2479	3725	5575	2216	3301	1452	1758	2287	1078	1158	1649
ENSG00000010219	776	1394	797	1537	601	1119	452	437	429	610	245	599
ENSG00000010244	11434	10638	9370	9060	7501	10917	3215	5574	7614	4045	2710	6341
ENSG00000010256	21299	14524	15184	17653	5275	19367	5158	19560	9171	8914	7267	10397
ENSG00000010270	1741	1623	2346	1455	908	2396	723	1037	939	1423	940	1395
ENSG00000010278	30409	27039	30794	25560	20719	32132	18567	25210	13098	7254	16948	17616
ENSG00000010282	0	4	3	0	2	0	0	1	1	1	0	0
ENSG00000010292	8481	5939	12136	6305	4380	4786	1809	2927	5458	3852	1794	3127
ENSG00000010295	436	1225	259	127	284	128	129	193	193	124	69	158
ENSG00000010310	580	1247	166	262	18	29	26	70	68	47	38	37
ENSG00000010318	542	354	525	134	97	121	64	301	91	85	107	119
ENSG00000010319	242	273	217	217	268	182	60	1279	107	43	40	102
ENSG00000010322	6796	5851	3890	3579	2388	2173	1626	3305	2908	949	1277	1768
ENSG00000010327	2674	7348	1979	639	1689	941	409	2377	1320	423	513	1760
ENSG00000010361	762	411	763	421	58	786	445	292	151	105	178	217
ENSG00000010379	2	1	1	2	4	33	2	3	8	1	0	1
ENSG00000010404	3313	5730	2427	3261	2323	3134	2476	3009	1834	1202	1105	919
