TCGA.FS.A1ZE	TCGA.W3.AA1O	TCGA.EE.A185	TCGA.GN.A8LK	TCGA.EE.A2MD	TCGA.EE.A2MQ	TCGA.HR.A2OH	TCGA.EB.A5FP	TCGA.EE.A3JI	TCGA.FS.A4F0	TCGA.EE.A29Q	TCGA.EE.A29V	TCGA.EE.A2ML	TCGA.ER.A19H
ENSG00000006576	1839	5341	871	754	2351	4414	1952	3525	4848	3100	5663	410	1797	3625
ENSG00000006606	6	4	4	7	6	5	5	1	0	0	8	3	2	7
ENSG00000006607	22920	10995	14931	6729	15119	13972	13999	12144	20420	8558	21314	19305	24047	12662
ENSG00000006611	0	0	0	0	2	2	0	0	0	2	1	1	0	1
ENSG00000006625	3213	3565	596	2220	3288	2973	2104	3793	2459	2660	9184	3035	1858	3473
ENSG00000006634	713	3326	321	484	1261	2209	1648	1910	1373	716	1549	446	423	2187
ENSG00000006638	76	574	101	44	422	213	441	209	600	48	144	775	2356	919
ENSG00000006652	3915	5751	371	1731	2723	4169	2539	2691	6719	5230	3287	1042	1016	4026
ENSG00000006659	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000006695	1376	1372	561	1448	1053	462	1243	952	1670	1825	2351	1245	1307	1874
ENSG00000006704	4716	1005	1041	1635	1409	1387	1121	1583	6513	7208	2525	1720	1786	2860
ENSG00000006712	3121	4297	2701	6261	3110	6241	3080	4800	6193	5332	9741	9158	4426	5687
ENSG00000006715	3499	17013	3225	2686	6855	6800	7374	7035	7977	8270	18528	4239	7362	8044
ENSG00000006740	115	75	33	72	71	46	91	42	45	53	62	45	100	119
ENSG00000006744	4662	5563	2674	7183	4163	3278	5866	6609	6549	6853	9844	6620	3937	7562
ENSG00000006747	71	144	2280	4434	20458	97	433	398	181	32	345	3886	52	4927
ENSG00000006756	1909	2178	2365	1188	1792	322	2272	3532	1355	3710	7785	3922	3385	4917
ENSG00000006757	2213	1330	826	1295	1273	880	868	2474	1466	10	2527	2392	662	1358
ENSG00000006788	2	0	7	2	50	0	1	39	1	3	0	2	2	366
ENSG00000006831	9907	6585	8128	7805	24547	7379	6071	9626	28688	12060	8096	15056	26904	10025
ENSG00000006837	82	88	7	27	73	22	41	34	35	47	196	11	48	85
ENSG00000007001	3	4	3	1	1	4	1	1	18	5	9	2	8	1
ENSG00000007038	28	3	2	0	8	14	44	866	0	0	252	98	3	4794
ENSG00000007047	2793	1827	2949	3674	2672	3491	2473	2581	5420	5001	4648	8576	3526	6686
ENSG00000007062	202	174	45	148	27353	74	29	190	106	162	341	104	113	368
ENSG00000007080	3340	2918	2976	9499	3132	3071	3672	2313	4007	4058	9755	5985	3276	4196
ENSG00000007129	24	16	2	0	58	27	526	15	82	14	31	4	144	195
ENSG00000007168	13726	12089	3466	3927	9342	6147	8449	6025	18279	12022	17635	5200	12461	14222
ENSG00000007171	89	65	6	41	30	39	10	14	23	54	280	83	151	51
ENSG00000007174	2	141	18	38	91	2262	1	1	4	3	5	5	2	112
ENSG00000007202	19532	9909	13345	6549	15441	9116	14672	15425	20642	11792	24409	23812	19800	29408
ENSG00000007216	22	0	0	0	0	0	0	0	1	9	1	10	0	1
ENSG00000007237	102166	18541	5735	4887	23139	43409	58387	16383	60202	74887	63776	21914	32175	41336
ENSG00000007255	933	1229	901	1230	883	1149	1640	1377	1335	1548	4146	5327	685	1389
ENSG00000007264	33	131	26	305	92	78	606	31	23	9	96	74	79	157
ENSG00000007306	12	0	17	0	6	0	0	2	0	0	0	4	1	0
ENSG00000007312	44	70	19	55	2268	98	573	15	178	28	136	1881	409	330
ENSG00000007314	93	43	4	14	26	216	16	9	18	145	128	11	39	448
ENSG00000007341	863	832	403	209	1307	1626	555	1111	1297	1302	1604	690	1070	1099
ENSG00000007350	418	14	9	50	1049	231	76	421	121	23	54	106	134	58
ENSG00000007372	280	65	21	86	118	26	67	109	432	100	110	23	68	95
ENSG00000007376	1446	2005	1537	2428	1517	2633	1635	2129	1559	2401	4110	7183	1442	2893
ENSG00000007384	5848	9163	1300	1487	2083	6906	3554	6129	2338	7089	3960	5490	6315	5590
ENSG00000007392	2660	1030	1188	2368	1370	1080	1460	2272	2180	4685	2297	2829	1176	1900
ENSG00000007402	84	21	10	622	51	21	57	23	194	35	120	266	16	61
ENSG00000007516	48	216	344	39	40	138	79	119	2390	952	179	181	81	1596
ENSG00000007520	2613	2685	2220	4982	2412	2342	2257	2570	2144	2895	4546	7749	2611	3999
ENSG00000007541	1844	2450	2175	4302	3791	2899	2231	4218	1980	2705	6155	6311	4301	3608
ENSG00000007545	1525	685	667	615	785	1307	935	1418	1558	2476	1917	1342	1387	1877
ENSG00000007866	1137	309	261	2461	936	283	511	1570	1626	2046	768	1413	522	1503
ENSG00000007908	65	157	9	5	163	188	31	68	6	11	82	653	4	114
ENSG00000007923	3064	4051	2884	4471	2693	3022	2997	3583	4513	3526	5269	8872	1925	4262
ENSG00000007933	42	20	19	10	8	91	124	47	172	81	123	24	842	51
ENSG00000007944	7389	410	1396	1474	3473	2145	1930	6317	4104	5233	3633	3387	3664	7044
ENSG00000007952	61	31	9	44	51	20	44	45	87	42	142	18	29	18
ENSG00000007968	529	1090	466	727	492	958	1493	1077	1039	455	1105	1860	227	1115
ENSG00000008018	6508	4667	2177	10367	14040	8022	6927	4703	5724	9257	8248	7792	5868	5999
ENSG00000008056	34	18	21	8	38	96	140	19	129	45	128	188	31	25
