TCGA.G2.A2EK	TCGA.BT.A20N	TCGA.FD.A3SJ	TCGA.G2.AA3C	TCGA.DK.A1A7	TCGA.UY.A78L	TCGA.FD.A3SO	TCGA.XF.A9SV	TCGA.DK.A3WX	TCGA.G2.A3IE	TCGA.GV.A40E	TCGA.G2.A2EJ	TCGA.DK.AA6S	TCGA.DK.A3IV	TCGA.FD.A3SQ	TCGA.ZF.AA5H	TCGA.G2.A3IB	TCGA.DK.AA6P	TCGA.XF.A9SU	TCGA.FJ.A871
ENSG00000006459	3228	373	1239	268	615	1948	2778	405	4136	1028	1031	4116	1093	2947	1241	561	3104	1220	316	346
ENSG00000006468	200	203	547	242	109	371	422	183	240	79	295	158	993	123	1826	310	30	113	123	420
ENSG00000006530	1725	1047	2335	781	1410	1001	1150	676	1734	1692	2202	1829	1213	2619	1575	1135	1710	1095	772	1129
ENSG00000006534	1104	508	1042	2433	295	593	1683	343	902	394	651	156	449	4976	1082	3197	394	622	192	423
ENSG00000006555	2228	1015	396	7	954	1635	1502	418	1210	2576	1065	1835	145	3386	1097	1962	5338	1102	779	64
ENSG00000006576	1483	2346	1616	721	757	1208	1321	671	1091	1182	1787	1529	1155	2454	2637	1449	708	576	935	859
ENSG00000006606	3	4	19	177	13	68	14	10	59	1	11	8	8	5	15	11	144	0	32	37
ENSG00000006607	1617	2421	2282	762	1263	1260	2334	446	2430	2518	1244	2650	754	3061	1830	1218	4574	1695	913	1315
ENSG00000006611	0	0	36	0	30	0	1	1	20	3	8	3	232	595	0	1	0	325	2	799
ENSG00000006625	2696	5739	13018	1843	3780	6424	2936	1777	3212	2567	5711	3022	1946	3778	3230	2421	4760	2902	3061	1683
ENSG00000006634	486	910	1343	427	437	953	1041	200	1046	546	1757	1324	629	1778	314	1500	1057	909	474	988
ENSG00000006638	86	25	133	2853	77	62	202	34	177	26	89	38	88	46	145	239	38	39	128	902
ENSG00000006652	1015	1485	5336	1349	741	1625	1170	350	1720	1682	4268	1901	1047	2920	1183	37157	1794	1406	1356	1923
ENSG00000006659	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0
ENSG00000006695	1036	583	1389	490	272	1054	787	186	649	472	719	827	534	925	488	969	1207	606	423	845
ENSG00000006704	3704	2303	4924	539	2209	1864	4720	824	1197	2331	2668	1802	2732	3660	3403	2903	5264	2719	1686	3399
ENSG00000006712	3605	4620	17705	4027	15016	6461	2215	1890	4972	2053	4776	5261	2777	5987	3846	5851	5528	3579	3921	7314
ENSG00000006715	3700	5574	3848	1043	2163	2355	2009	1365	1960	2726	3624	2424	2370	3027	3694	15421	1866	3585	1867	2154
ENSG00000006740	128	25	219	38	134	1141	67	134	436	107	40	30	88	926	397	70	41	125	92	213
ENSG00000006744	4190	2270	4554	4404	1576	4419	2896	1120	5180	2198	4813	2875	1757	3590	2055	4459	6346	2112	2424	6378
ENSG00000006747	1268	251	316	109	3742	46	81	307	81	6001	2429	99	192	5411	332	337	133	315	399	43
ENSG00000006756	6987	195	3269	625	1207	5535	1750	1692	2942	2983	1224	1122	2259	3952	3402	2597	1724	1839	2610	1251
ENSG00000006757	678	581	372	289	518	1535	415	504	1198	339	885	888	263	441	636	731	958	242	632	418
