TCGA.L9.A7SV	TCGA.69.7973	TCGA.55.8505	TCGA.55.8508	TCGA.91.7771	TCGA.97.8176	TCGA.64.5815	TCGA.86.A4P8	TCGA.64.5779	TCGA.50.8459	TCGA.73.4675	TCGA.73.7498	TCGA.55.8205	TCGA.55.7283	TCGA.55.A48Y	TCGA.55.A48X	TCGA.55.7576
ENSG00000008517	965	1074	5563	1567	5956	1774	1890	4674	3058	4529	2268	3036	9744	4596	7619	6575	3453
ENSG00000008710	4282	4545	3533	3129	2099	1691	1062	6019	1816	5162	5660	6943	4140	1865	2243	3534	2732
ENSG00000008735	1849	1544	1239	162	61	50	61	134	109	78	3580	206	84	195	236	171	1052
ENSG00000008838	11814	13036	3255	6435	3264	2360	2004	5207	2747	2818	17294	7702	4387	2915	2779	4176	7589
ENSG00000008853	6238	14743	2142	3522	19528	7564	1585	6513	1702	2800	50544	24570	2820	6197	3320	9801	7275
ENSG00000008869	7390	3998	1565	878	1864	1255	864	2775	1019	1488	2579	3227	3303	2257	1286	2357	4254
ENSG00000008952	6335	15331	4716	3684	13909	5817	6193	6446	5309	6442	16853	14565	10222	10406	7312	6694	16949
ENSG00000008988	42783	54453	16043	16453	29828	36794	23715	31343	32674	24123	70633	80063	42299	38442	29339	27514	75218
ENSG00000009307	27247	28084	12601	9492	23013	22484	17071	24709	14653	20392	38401	25980	30604	22030	18352	27968	65049
ENSG00000009335	6165	6993	6485	2370	3525	3318	2690	3561	2844	3291	7467	6706	18867	5417	5811	3855	12598
ENSG00000009413	2110	2970	714	410	1693	535	413	2380	1109	1137	720	1959	2062	1136	632	1308	3231
ENSG00000009694	460	1156	48	15	192	12	32	435	2078	82	269	7313	644	41	13	99	42
ENSG00000009709	1	0	2	9	27	1	0	20	141	1	1494	83	4	14	0	0	0
ENSG00000009724	259	10	31	23	56	29	4	157	99	37	51	203	51	19	13	116	47
ENSG00000009765	164	26	2411	66	6744	256	31	246	1366	188	373	1324	30	347	826	124	181
ENSG00000009780	1300	740	369	218	410	205	254	1053	389	581	926	914	690	669	557	836	1631
ENSG00000009790	292	351	132	245	719	232	173	1288	570	562	226	881	1532	181	180	1355	737
ENSG00000009830	2909	2389	1111	664	500	768	589	1242	1145	1006	2189	2726	1638	615	876	1264	1736
ENSG00000009844	1935	2738	2020	821	1656	989	863	1568	1310	1439	1714	1774	3258	1674	1598	1297	3882
ENSG00000009950	201	151	144	32	56	75	28	167	15	91	1565	100	31	50	9	245	134
ENSG00000009954	6768	14069	4829	2828	3563	4053	2490	4624	2987	3479	5767	8074	20470	5899	4151	4719	15528
ENSG00000010017	4670	4581	2443	1499	2313	2160	1504	2261	2387	2591	3724	9603	4443	4495	3017	3989	5561
ENSG00000010030	129	475	123	183	401	128	349	547	205	276	232	653	2402	1476	109	449	692
ENSG00000010072	835	1562	651	533	524	696	187	431	522	370	570	1352	618	908	926	798	1380
