TCGA.CD.8531	TCGA.CD.5804	TCGA.FP.7998	TCGA.CD.A4MH	TCGA.CD.8528	TCGA.CD.8530	TCGA.CD.A486	TCGA.CD.8526	TCGA.CD.8535	TCGA.BR.6709	TCGA.CD.A487	TCGA.CD.8525	TCGA.CD.8529	TCGA.B7.A5TN	TCGA.IN.A6RO	TCGA.CG.4305
ENSG00000007080	3580	5683	2517	2529	3738	3276	3210	5055	2918	2862	2515	1889	2965	2439	2720	2286
ENSG00000007129	240	49	377	50	20	71	44	104	40	86	26	39	234	48	173	59
ENSG00000007168	7428	3577	8973	5395	4746	7287	6002	7421	7318	4042	3729	2411	6512	7911	5459	9421
ENSG00000007171	91	67	500	4453	113	80	52	217	50	32	846	80	905	102	38	105
ENSG00000007174	6	19	24	29	11	43	35	42	43	0	6	2	10	11	17	31
ENSG00000007202	13007	4725	19431	11063	19769	8251	11979	11293	13911	4981	6390	4234	16791	10575	12393	16470
ENSG00000007216	1	585	6	1887	3	190	81	9	4	2	2	15	945	26	18	165
ENSG00000007237	7665	1196	8875	1763	1666	5884	1993	4019	1348	3630	945	849	6174	2678	278	5660
ENSG00000007255	1441	1262	555	816	348	659	779	595	2384	538	438	540	904	1325	3076	418
ENSG00000007264	82	158	721	40	42	152	985	167	40	365	33	96	459	73	29	124
ENSG00000007306	5	1579	24	368	208	6	2979	11605	161	0	5570	768	202	5621	679	13
ENSG00000007312	50282	180	472	141	21	255	155	458	15	471	35	361	1294	70	37	232
ENSG00000007314	130	3	52	11	131	28	29	147	40	40	4	18	100	17	11	26
ENSG00000007341	232	466	782	1234	670	959	1337	1103	1027	408	553	465	925	762	546	574
ENSG00000007350	32	5	4	118	94	11	9	362	11	1	3	3	2	4340	1	15
ENSG00000007372	110	69	129	213	322	299	84	152	1356	34	298	114	152	227	79	365
ENSG00000007376	2961	2859	1803	1198	4235	1164	2057	2628	791	2084	874	988	3019	3827	1971	1313
ENSG00000007384	396	2867	2727	1679	1513	1767	5733	3006	2489	1403	906	1256	5009	6533	2884	2341
ENSG00000007392	1892	1150	1306	2942	1493	1341	3486	3385	579	1301	991	1012	2058	2779	880	2104
ENSG00000007402	21	149	138	3018	32	296	614	1135	365	219	70	163	192	128	88	105
ENSG00000007516	101	87	96	301	60	142	2394	266	359	293	143	23	517	184	42	214
ENSG00000007520	2909	2934	1892	1186	2967	1837	2213	2423	839	2093	1439	888	2929	3635	1216	971
ENSG00000007541	1773	4989	3825	2122	3485	2033	3803	6229	1442	3602	1761	883	4573	7659	2352	1308
ENSG00000007545	737	724	1565	1376	1595	1031	1398	1437	554	581	674	378	1491	1777	441	904
ENSG00000007866	394	4006	3143	4307	2512	2918	12199	6273	2947	1253	3034	2335	4131	7127	4888	2550
ENSG00000007908	257	469	264	135	93	325	65	1536	10	79	114	251	1923	96	78	240
ENSG00000007923	2002	1136	2771	2227	4719	1699	2981	3968	2480	2130	949	681	2600	1279	4977	2005
ENSG00000007933	56	167	466	1880	27	967	109	741	298	47	37	37	457	706	212	212
ENSG00000007944	374	1639	2930	5716	1524	4187	7053	3643	1530	1305	2310	1838	2579	1955	998	1198
ENSG00000007952	14	163	655	523	53	37	93	46	116	13	181	66	115	133	52	25
ENSG00000007968	11936	476	1665	2724	1435	415	1230	2159	887	300	516	625	996	368	3529	715
ENSG00000008018	8582	3599	7750	14121	6104	5167	11796	9929	7537	3714	6562	6844	6255	10654	22446	6936
ENSG00000008056	88	251	201	97	68	206	228	198	95	450	346	887	324	229	26	108
ENSG00000008083	1673	760	3211	3335	1396	2822	6232	4523	2185	1895	1582	1390	2651	1901	1126	1467
ENSG00000008086	239	1186	2627	825	969	1484	1340	1079	1290	515	761	1330	1800	2186	1154	1787
ENSG00000008118	17	39	105	32	22	55	46	52	80	32	6	24	57	48	10	39
ENSG00000008128	570	418	504	1467	414	542	893	930	348	228	485	270	536	763	742	393
ENSG00000008130	7396	4110	6894	5528	7071	3981	6296	5565	3094	3983	2047	1641	6857	3802	11295	4190
ENSG00000008196	1	71	1	1	2	13	25	60	11	1	1	5	2	2	0	9
ENSG00000008197	1	0	0	1	1	4	4	4	5	0	0	1	2	0	1	6
ENSG00000008226	15	23	93	58	90	47	123	123	131	39	35	60	199	74	165	53
ENSG00000008256	1322	2311	3798	3894	1819	4986	6113	10717	3968	1555	1544	1027	3929	4435	2486	3008
ENSG00000008277	205	159	432	127	461	651	687	1130	919	457	73	117	329	332	85	320
ENSG00000008282	2513	4638	8685	9090	15246	6719	7736	7438	7838	4389	4779	1555	8238	12106	21602	10493
ENSG00000008283	602	8110	4984	2481	7899	5099	10206	16180	6244	2682	2064	2786	12857	11506	10453	4811
ENSG00000008294	4517	2203	8809	7343	4411	7046	5733	7090	5167	3231	3385	2183	5463	5699	9344	5312
ENSG00000008300	152	222	1544	4520	1983	866	5530	1678	7772	1602	1084	905	1412	338	474	355
ENSG00000008311	59	107	323	1292	129	491	286	311	194	359	175	50	410	418	342	298
ENSG00000008323	14	2839	1460	8800	1944	1755	3884	4802	1974	36	300	1098	3847	2538	4470	2045
ENSG00000008324	1414	915	650	2053	1114	911	2068	1146	891	516	1011	1966	918	1433	1287	1051
ENSG00000008382	1079	695	1737	1256	980	867	1055	583	761	554	663	539	1305	961	1278	496
ENSG00000008394	128	4031	1387	3875	13153	5799	2778	15391	1177	2134	7316	4854	1167	5370	8970	16529
ENSG00000008405	249	644	1473	2089	1663	1481	2352	2347	3752	1001	948	580	1680	2398	5234	1478
ENSG00000008438	12	7	18	11	13	10	7	30	23	2	14	11	8	8	9	8
ENSG00000008441	1411	6274	17784	4786	5406	17849	5474	9451	8539	9205	7044	2201	9535	13490	6926	5107
ENSG00000008513	2588	10309	7862	1186	11209	4322	10368	2449	2482	6955	4540	16378	9896	1847	6877	2476
ENSG00000008516	253	159	1857	310	140	178	374	367	21	470	201	100	476	306	159	396
ENSG00000008517	2661	17323	19803	16352	11087	8745	11891	9114	909	11541	10341	10681	13022	26469	4746	5707
ENSG00000008710	5234	5896	10629	8031	5294	9403	5239	6180	2353	4943	4793	1729	9715	7539	2445	3600
ENSG00000008735	117	632	106	369	46	499	2917	1776	758	150	93	988	128	948	489	38
ENSG00000008838	6118	5320	6954	4292	3491	3710	10828	7300	7431	4463	4318	4961	8441	6757	13940	4406
ENSG00000008853	1251	2164	2401	1746	812	4737	2188	1829	1479	4777	773	1041	2804	1964	1325	2589
ENSG00000008869	2161	968	3345	3124	2516	2230	2496	2429	2464	762	927	935	1813	2068	2597	3322
ENSG00000008952	9863	14714	14682	26261	10947	23212	20198	24345	14020	7296	25798	22811	19124	27936	8242	9574
ENSG00000008988	40979	41461	27227	49601	35214	69220	101260	54359	49796	63694	42998	59105	33923	46737	59268	54640
ENSG00000009307	13760	15542	31019	18905	37513	26592	24849	36196	25460	23401	15694	11865	32861	26474	25267	27073
ENSG00000009335	6526	4881	9246	6930	8526	5870	4284	8141	13862	4850	3140	1805	6044	8085	15012	9253
ENSG00000009413	3958	643	5209	2675	2300	2618	1675	3477	2318	1558	1286	710	1748	3101	3461	2636
ENSG00000009694	8	46	88	298	9	199	131	804	263	17	61	53	53	4	16	65
ENSG00000009709	0	0	0	2	0	2	12	9	2	0	0	8	0	1	14	1
ENSG00000009724	64	16	156	169	27	54	46	45	128	72	24	27	43	48	168	165
ENSG00000009765	6	826	266	2009	588	47	731	1937	83	0	251	291	1997	2871	5024	5659
ENSG00000009780	582	721	756	1056	635	981	1709	776	777	293	638	513	744	1566	1597	708
ENSG00000009790	147	251	1763	303	164	357	186	451	41	480	92	201	1094	188	89	798
ENSG00000009830	550	758	1132	1400	1494	1228	1951	2873	1744	659	951	365	1199	1228	635	976
ENSG00000009844	5177	1428	3091	6197	5234	2538	3238	6052	7105	2475	2549	2033	5403	4669	5238	5694
ENSG00000009950	9	446	35	1036	189	1178	1954	1323	5780	84	345	1473	483	62	1451	1805
ENSG00000009954	14177	6326	10683	15338	8628	10979	5866	11733	13337	7501	5330	6155	8781	8342	12064	7968
ENSG00000010017	7039	2626	4887	4936	3501	4611	7944	4780	6086	2076	2968	1764	5190	6396	2865	4482
ENSG00000010030	68	774	3445	2240	481	304	2150	1079	355	973	357	1896	1268	1269	2611	345
