TCGA.86.7954	TCGA.55.5899	TCGA.97.8547	TCGA.50.6590	TCGA.55.7281	TCGA.49.AAR4	TCGA.55.8301	TCGA.86.8054	TCGA.55.7994	TCGA.50.5933	TCGA.50.5051	TCGA.55.7995	TCGA.55.1596	TCGA.49.AAR2
ENSG00000007923	3545	1640	518	1148	1037	890	1993	2722	2366	1246	684	2477	1452	911
ENSG00000007933	2519	430	289	167	484	254	532	311	162	727	94	5054	324	275
ENSG00000007944	2246	1322	725	987	678	591	1913	4153	3444	1267	1768	2507	1532	555
ENSG00000007952	380	16	618	7	164	75	53	89	226	19	110	71	82	30
ENSG00000007968	723	629	140	341	125	287	520	801	1368	264	151	783	572	666
ENSG00000008018	14306	8384	2791	9634	7234	4479	8503	5572	5091	4346	3686	8756	10385	11889
ENSG00000008056	54	640	39	53	66	71	43	52	29	35	37	99	31	25
ENSG00000008083	3867	984	429	2413	1004	697	1098	3839	1490	595	759	3381	957	780
ENSG00000008086	1580	399	494	563	490	589	677	581	759	1092	185	1087	321	80
ENSG00000008118	61	44	13	76	42	21	59	75	58	56	10	70	23	13
ENSG00000008128	656	154	157	136	151	577	431	326	493	153	222	696	204	887
ENSG00000008130	7854	4706	1531	2377	3685	2870	4409	3819	6356	2229	2083	10610	3916	5077
ENSG00000008196	0	0	1	0	0	0	0	0	0	3	88	3	0	0
ENSG00000008197	13	203	277	0	13	27	6	557	6	0	99	0	0	0
ENSG00000008226	281	12	159	17	139	1216	103	37	114	22	108	99	56	209
ENSG00000008256	5056	1295	8872	2148	2599	1481	2638	2075	3181	4863	841	1647	763	374
ENSG00000008277	280	144	120	40	142	277	116	1121	941	239	124	449	61	34
ENSG00000008282	11437	1530	2198	6529	4027	2794	5154	9814	10333	5742	3402	7747	6240	1721
ENSG00000008283	23892	9393	4681	3383	7067	5538	6984	6492	18115	7225	7792	13004	9285	8776
ENSG00000008294	6366	4185	3042	4203	7191	3474	3842	4684	14878	12046	1313	6164	2576	2215
ENSG00000008300	371	2231	866	875	772	1919	199	787	7291	642	267	814	427	352
ENSG00000008311	1045	188	289	144	286	629	1013	1859	1052	186	200	1489	102	514
ENSG00000008323	848	198	445	1321	810	768	451	359	1230	292	140	3190	2361	501
ENSG00000008324	600	506	417	577	785	595	980	956	552	456	694	569	495	737
ENSG00000008382	1381	765	1128	647	1922	855	1273	1373	1292	532	637	1386	635	821
ENSG00000008394	12762	5405	5665	14160	10385	5564	14341	4386	23153	5921	10683	52524	22440	12856
ENSG00000008405	2624	1160	611	824	490	486	947	3511	1035	635	716	915	1369	449
ENSG00000008438	4	0	6	0	1	2	0	3	7	1	3	3	1	0
ENSG00000008441	6798	2022	1284	3620	3753	981	8394	1425	1998	1667	1199	4719	986	2542
ENSG00000008513	12923	1127	1284	1482	3968	1237	5968	3793	15057	2669	2808	9713	558	824
ENSG00000008516	430	249	74	409	109	107	471	67	848	139	56	952	63	144
ENSG00000008517	6100	1485	2968	7908	9628	3846	18259	948	4312	8808	2973	5301	1906	3720
ENSG00000008710	4434	1416	2487	1896	1629	2810	2590	3026	2334	1686	1988	7572	822	2744
ENSG00000008735	242	3150	449	124	896	1223	62	1140	1722	921	264	627	655	34
ENSG00000008838	9374	3823	2894	3054	3597	4281	3960	8337	7399	3313	2275	7468	15917	4860
ENSG00000008853	2295	752	2081	878	7336	1457	2560	3843	11179	855	7729	1503	2037	10061
ENSG00000008869	3682	1405	909	1206	1134	1456	1407	3515	3355	1509	569	2861	1037	1478
ENSG00000008952	11616	8310	5666	6195	8664	4327	8661	11213	18288	5706	6067	19740	7299	3610
ENSG00000008988	37293	19357	11966	25653	45245	20582	59025	113530	36822	26329	36751	29967	30096	46596
ENSG00000009307	52180	8432	8286	18153	32186	15461	27626	33080	36731	28206	8625	20823	13462	11412
ENSG00000009335	12212	4179	2556	6423	2744	3799	4954	7919	7809	5737	2772	11246	4028	1817
ENSG00000009413	2925	1667	511	813	414	593	1377	1701	2201	1000	476	2989	597	681
ENSG00000009694	38	119	90	20	32	267	58	2744	49	7	5810	1392	5	2698
ENSG00000009709	76	0	0	0	0	0	498	930	0	0	4379	4379	15	2909
ENSG00000009724	107	8	49	15	22	71	51	28	115	7	32	135	14	21
ENSG00000009765	1679	448	226	0	217	270	47	104	947	6	222	508	5575	1990
ENSG00000009780	1346	291	435	415	654	584	568	742	925	586	401	793	616	430
ENSG00000009790	1510	150	155	472	279	1422	1455	195	1245	249	161	1936	177	338
ENSG00000009830	2222	1383	906	2122	764	2225	1051	1900	2434	695	1162	2020	709	1575
ENSG00000009844	4451	1840	666	1697	1598	1095	2531	3634	2929	2035	933	3601	2128	1161
ENSG00000009950	232	38	74	9	46	78	71	162	22	12	96	2949	110	506
ENSG00000009954	13534	3824	2694	9583	3956	3976	7999	13708	14498	5483	3433	13004	3802	2856
ENSG00000010017	5641	4284	1392	2867	2095	1275	2289	6236	3973	4090	1478	5742	2650	1616
ENSG00000010030	2139	250	172	748	379	385	3328	182	1080	602	201	1938	1254	836
ENSG00000010072	1541	558	304	770	385	376	821	1556	609	538	594	938	844	308
ENSG00000010165	5018	1871	1226	2239	1530	1254	3587	3003	2582	2855	1059	4618	2065	679
ENSG00000010219	818	580	666	1294	868	596	876	944	583	597	476	667	938	1158
ENSG00000010244	13696	6373	4934	5243	7273	5240	6944	14227	13167	6333	4264	13104	4917	4226
ENSG00000010256	6736	7586	4185	6293	6662	4651	8106	10626	9299	5994	6594	6240	4832	6828
ENSG00000010270	2474	3104	1885	1638	1387	1631	2014	3261	2662	3015	845	2462	2502	604
ENSG00000010278	16766	8422	14411	13980	35451	11627	12847	16164	20106	13064	12466	34565	14172	5265
ENSG00000010282	7	0	987	0	672	40	1	9	31	5	5	1	5	1
ENSG00000010292	10004	3926	1927	13244	2718	2753	5101	13309	9483	3388	2497	15191	4007	3243
ENSG00000010295	1535	380	701	519	423	1208	1038	259	982	561	276	1608	221	592
ENSG00000010310	530	76	178	44	76	636	169	165	138	69	155	213	28	125
ENSG00000010318	314	254	194	128	100	142	174	174	293	107	107	150	85	109
ENSG00000010319	559	533	202	252	598	265	215	274	269	222	322	453	236	361
ENSG00000010322	5844	2038	3573	2073	3032	4439	5686	5748	5762	2499	3605	5037	1428	2415
ENSG00000010327	15500	4237	2745	2784	2661	2991	5438	2308	6643	6134	2180	5324	1431	3763
