TCGA.95.A4VK	TCGA.50.5055	TCGA.NJ.A7XG	TCGA.55.8615	TCGA.73.A9RS	TCGA.55.7914	TCGA.53.7624	TCGA.55.7281	TCGA.55.A48Z	TCGA.69.7974	TCGA.69.A59K
ENSG00000015153	550	444	361	689	505	591	1141	590	522	938	883
ENSG00000015171	4269	1894	4518	4523	2506	6796	2017	1922	3267	3621	3013
ENSG00000015285	726	1573	182	275	186	583	388	1391	926	2108	760
ENSG00000015413	238	201	7	128	13	123	3	63	62	35	116
ENSG00000015475	1176	1525	1876	845	1143	1249	971	1758	1151	1342	622
ENSG00000015479	254	42	444	167	119	190	158	84	329	330	505
ENSG00000015520	6	15	5	4289	12	7	16	15	59	11	117
ENSG00000015532	2187	1390	3190	3766	537	1658	1117	2209	2889	4600	5160
ENSG00000015568	2	0	0	1	0	1	1	0	2	0	9
ENSG00000015592	0	0	5	0	0	0	0	4	0	0	0
ENSG00000015676	3987	3350	4440	4434	2376	3905	6713	3746	8524	8863	5665
